;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4
0;S2;Resting Open;1.0;0.14966241560390098;0.14991247811952987;0.14753688422105526;0.15728932233058265;0.15591397849462366;0.14028507126781695;0.13553388347086773;1.0;0.9378594648662165;0.5920230057514378;0.5515128782195549;0.48149537384346086;0.7369342335583896;0.41947986996749187;1.0;0.6026506626656665;0.5507626906726681;0.47874468617154287;0.7416854213553389;0.41735433858464616;1.0;0.40235058764691173;0.3598399599899975;0.578269567391848;0.32620655163790946;1.0;0.7069267316829208;0.5612653163290823;0.5422605651412853;1.0;0.49087271817954486;0.5550137534383596;1.0;0.47186796699174793;1.0
0;S3;Resting Open;1.0;0.1541635408852213;0.1345336334083521;0.13728432108027006;0.13928482120530133;0.1380345086271568;0.11877969492373093;0.13303325831457866;1.0;0.4929982495623906;0.40572643160790195;0.5283820955238809;0.304576144036009;0.3724681170292573;0.4617404351087772;1.0;0.4288572143035759;0.3692173043260815;0.2315578894723681;0.3609652413103276;0.34521130282570645;1.0;0.2791947986996749;0.18967241810452612;0.30745186296574145;0.2579394848712178;1.0;0.3569642410602651;0.29857464366091524;0.5053763440860215;1.0;0.20167541885471368;0.32620655163790946;1.0;0.3479619904976244;1.0
0;S7;Resting Open;1.0;0.11315328832208052;0.11690422605651413;0.11640410102525632;0.11227806951737934;0.10490122530632658;0.10390097524381095;0.0902725681420355;1.0;0.52975743935984;0.4894973743435859;0.5156289072268067;0.35183795948987245;0.44923730932733186;0.4333583395848962;1.0;0.5926481620405101;0.36084021005251316;0.2536884221055264;0.45448862215553887;0.31957989497374345;1.0;0.3347086771692923;0.24568642160540136;0.4278569642410603;0.28557139284821204;1.0;0.48149537384346086;0.33520880220055016;0.47336834208552137;1.0;0.24981245311327832;0.4277319329832458;1.0;0.351712928232058;1.0
0;S10;Resting Open;1.0;0.10327581895473868;0.09689922480620156;0.09527381845461365;0.10552638159539884;0.11277819454863716;0.10040010002500625;0.10340085021255314;1.0;0.6536634158539635;0.46924231057764443;0.5723930982745686;0.3664666166541635;0.5253813453363341;0.5538884721180295;1.0;0.6852963240810203;0.3879719929982496;0.2711927981995499;0.6567891972993248;0.38984746186546637;1.0;0.2961990497624406;0.22118029507376843;0.5555138784696174;0.29369842460615153;1.0;0.5772693173293323;0.3337084271067767;0.7223055763940985;1.0;0.23905976494123532;0.49424856214053514;1.0;0.3449612403100775;1.0
0;S13;Resting Open;1.0;0.14703675918979744;0.13215803950987748;0.12378094523630907;0.13915978994748687;0.13728432108027006;0.12340585146286571;0.1261565391347837;1.0;0.5200050012503126;0.4032258064516129;0.5746436609152288;0.41810452613153287;0.3978494623655914;0.5012503125781446;1.0;0.6051512878219555;0.40397599399849965;0.30070017504376095;0.4943735933983496;0.37471867966991745;1.0;0.3238309577394349;0.2565641410352588;0.4427356839209802;0.30120030007501875;1.0;0.5618904726181545;0.3602150537634409;0.6559139784946236;1.0;0.29719929982495624;0.5486371592898225;1.0;0.3959739934983746;1.0
0;S14;Resting Open;1.0;0.12840710177544387;0.12278069517379345;0.10627656914228557;0.12428107026756689;0.1385346336584146;0.10252563140785197;0.11502875718929732;1.0;0.3515878969742436;0.19767441860465115;0.3548387096774194;0.2929482370592648;0.3199549887471868;0.3500875218804701;1.0;0.3117029257314329;0.2959489872468117;0.23593398349587397;0.373218304576144;0.28444611152788196;1.0;0.16154038509627408;0.14728682170542637;0.2045511377844461;0.16204051012753187;1.0;0.31282820705176295;0.2619404851212803;0.3414603650912728;1.0;0.21467866966741686;0.3040760190047512;1.0;0.3083270817704426;1.0
0;S15;Resting Open;1.0;0.11527881970492623;0.11315328832208052;0.12703175793948487;0.12378094523630907;0.12503125781445362;0.08952238059514879;0.08702175543885972;1.0;0.594273568392098;0.4253563390847712;0.6004001000250062;0.327456864216054;0.43135783945986494;0.3232058014503626;1.0;0.568642160540135;0.3859714928732183;0.2516879219804951;0.4153538384596149;0.23143285821455364;1.0;0.2859464866216554;0.2059264816204051;0.3824706176544136;0.19042260565141286;1.0;0.49849962490622657;0.3390847711927982;0.3954738684671168;1.0;0.22068017004251061;0.2983245811452863;1.0;0.3687171792948237;1.0
0;S16;Resting Open;1.0;0.12665666416604152;0.11440360090022506;0.11790447611902975;0.1329082270567642;0.13940985246311577;0.11015253813453363;0.11127781945486372;1.0;0.4533633408352088;0.4022255563890973;0.4319829957489372;0.3197049262315579;0.36321580395098774;0.3428357089272318;1.0;0.440735183795949;0.34058514628657166;0.24618654663665918;0.38159539884971244;0.29094773693423354;1.0;0.31682920730182546;0.24656164041010253;0.3692173043260815;0.2633158289572393;1.0;0.40447611902975744;0.3077019254813703;0.3975993998499625;1.0;0.23193298324581146;0.3015753938484621;1.0;0.3132033008252063;1.0
0;S18;Resting Open;1.0;0.18504626156539133;0.183295823955989;0.16141535383845962;0.18242060515128783;0.17629407351837958;0.13715928982245562;0.13590897724431109;1.0;0.6727931982995748;0.4776194048512128;0.5718929732433108;0.4197299324831208;0.48887221805451364;0.3992248062015504;1.0;0.6397849462365591;0.4929982495623906;0.34983745936484123;0.5316329082270568;0.33108277069267317;1.0;0.3612153038259565;0.2604401100275069;0.4804951237809452;0.24606151537884471;1.0;0.5951487871967992;0.3758439609902476;0.4573643410852713;1.0;0.2861965491372843;0.4629907476869217;1.0;0.3583395848962241;1.0
0;S19;Resting Open;1.0;0.13078269567391848;0.13353338334583645;0.13215803950987748;0.12978244561140284;0.11140285071267816;0.10402600650162541;0.09052263065766442;1.0;0.6041510377594399;0.2740685171292823;0.6444111027756939;0.2686921730432608;0.3819704926231558;0.367966991747937;1.0;0.4091022755688922;0.4042260565141285;0.19629907476869218;0.4846211552888222;0.25618904726181546;1.0;0.20505126281570393;0.12903225806451613;0.31745436359089774;0.15128782195548887;1.0;0.3799699924981245;0.2676919229807452;0.4433608402100525;1.0;0.14753688422105526;0.2838209552388097;1.0;0.23430857714428607;1.0
